,prompt,human_answer,machine_answer
0,What is the capital of France?,The capital of France is Paris.,Paris is the capital of France.
1,Explain photosynthesis in one sentence.,Photosynthesis is the process by which plants use sunlight to convert carbon dioxide and water into glucose and oxygen.,Photosynthesis is the process where plants convert light energy into chemical energy to produce food.
2,What is 2 + 2?,2 + 2 equals 4.,The sum of 2 and 2 is 4.
3,Who wrote 'Romeo and Juliet'?,Shakespeare wrote 'Romeo and Juliet'.,'Romeo and Juliet' was written by Shakespeare.
4,What is the square root of 9?,The square root of 9 is 3.,3 is the square root of 9.
5,How many continents are there?,There are seven continents.,Seven continents exist on Earth.
6,What gas do plants produce during photosynthesis?,Plants produce oxygen.,Oxygen is produced by plants.
7,Who discovered gravity?,Isaac Newton discovered gravity.,Gravity was discovered by Newton.
8,What is the largest planet in our solar system?,Jupiter is the largest planet.,The largest planet is Jupiter.
9,What is H2O commonly known as?,H2O is water.,Water is H2O.
10,How many legs does a spider have?,A spider has eight legs.,Eight legs belong to a spider.
11,What is the currency of Japan?,Japan uses yen.,The currency of Japan is yen.
12,What do bees collect from flowers?,Bees collect nectar.,Nectar is collected by bees.
13,What is the capital of France?,The capital of France is Paris.,Paris is the capital of France.
14,Explain photosynthesis in one sentence.,Photosynthesis is the process by which plants use sunlight to convert carbon dioxide and water into glucose and oxygen.,Photosynthesis is the process where plants convert light energy into chemical energy to produce food.
15,What is 2 + 2?,2 + 2 equals 4.,The sum of 2 and 2 is 4.
16,Who wrote 'To Kill a Mockingbird'?,Harper Lee wrote 'To Kill a Mockingbird'.,The author of 'To Kill a Mockingbird' is Harper Lee.
17,What is the largest planet in our solar system?,Jupiter is the largest planet in our solar system.,The largest planet in the solar system is Jupiter.
18,What is the boiling point of water?,The boiling point of water is 100 degrees Celsius.,Water boils at 100°C at standard atmospheric pressure.
19,What is the square root of 64?,The square root of 64 is 8.,The square root of 64 equals 8.
20,Who painted the Mona Lisa?,Leonardo da Vinci painted the Mona Lisa.,The Mona Lisa was painted by Leonardo da Vinci.
21,What is the speed of light?,"The speed of light is approximately 299,792 kilometers per second.","Light travels at about 299,792 km/s in a vacuum."
22,What is the chemical formula for water?,The chemical formula for water is H2O.,Water is represented by the chemical formula H₂O.
23,What is the capital of Japan?,The capital of Japan is Tokyo.,Tokyo is the capital of Japan.
24,What is the largest ocean on Earth?,The largest ocean on Earth is the Pacific Ocean.,The Pacific Ocean is the largest ocean in the world.
25,Who invented the telephone?,Alexander Graham Bell invented the telephone.,The telephone was invented by Alexander Graham Bell.
26,What is the freezing point of water?,The freezing point of water is 0 degrees Celsius.,Water freezes at 0°C under standard conditions.
27,What is the smallest prime number?,The smallest prime number is 2.,2 is the smallest prime number.
28,Who is the author of '1984'?,George Orwell wrote '1984'.,The author of '1984' is George Orwell.
29,What is the chemical symbol for gold?,The chemical symbol for gold is Au.,Gold is represented by the symbol Au on the periodic table.
